505, 50, 470, 0, no trigger, navigating, null
521, 50, 470, 0, no trigger, navigating, null
538, 50, 470, 0, no trigger, navigating, null
555, 50, 470, 0, no trigger, navigating, null
572, 50, 470, 0, no trigger, navigating, null
589, 50, 470, 0, no trigger, navigating, null
607, 50, 470, 0, no trigger, navigating, null
624, 50, 470, 0, right trigger, navigating, null
641, 50.4, 469.9, 0.0001, no trigger, navigating, null
658, 50.8, 469.9, 0.0003, no trigger, navigating, null
674, 51.2, 469.8, 0.0004, no trigger, navigating, null
692, 51.7, 469.8, 0.0006, no trigger, navigating, null
709, 52.1, 469.7, 0.0008, no trigger, navigating, null
727, 52.6, 469.6, 0.0009, no trigger, navigating, null
744, 53, 469.5, 0.0011, no trigger, navigating, null
761, 53.4, 469.4, 0.0013, no trigger, navigating, null
778, 53.8, 469.3, 0.0014, no trigger, navigating, null
795, 54.2, 469.2, 0.0016, no trigger, navigating, null
813, 54.7, 469.1, 0.0017, no trigger, navigating, null
830, 54.7, 469.1, 0.0017, right trigger, navigating, null
847, 55.5, 468.9, 0.002, no trigger, navigating, null
863, 56.3, 468.6, 0.0024, no trigger, navigating, null
879, 57.1, 468.3, 0.0027, no trigger, navigating, null
896, 58, 468, 0.003, no trigger, navigating, null
913, 58.8, 467.7, 0.0033, no trigger, navigating, null
929, 59.6, 467.3, 0.0036, no trigger, navigating, null
945, 60.4, 466.9, 0.0038, no trigger, navigating, null
979, 62, 466.1, 0.0044, no trigger, navigating, null
996, 62.8, 465.6, 0.0047, no trigger, navigating, null
1014, 62.8, 465.6, 0.0047, right trigger, navigating, null
1031, 64.1, 464.9, 0.0052, no trigger, navigating, null
1048, 65.3, 464.1, 0.0056, no trigger, navigating, null
1065, 66.7, 463.3, 0.0061, no trigger, navigating, null
1082, 67.9, 462.4, 0.0065, no trigger, navigating, null
1100, 69.3, 461.4, 0.007, no trigger, navigating, null
1116, 70.5, 460.5, 0.0074, no trigger, navigating, null
1135, 71.9, 459.4, 0.0079, no trigger, navigating, null
1152, 73.1, 458.3, 0.0083, no trigger, navigating, null
1169, 74.3, 457.3, 0.0087, no trigger, navigating, null
1187, 74.3, 457.3, 0.0087, right trigger, navigating, null
1206, 76.2, 455.6, 0.0094, no trigger, navigating, null
1223, 78, 453.9, 0.01, no trigger, navigating, null
1240, 79.7, 452.2, 0.0106, no trigger, navigating, null
1257, 81.4, 450.5, 0.0111, no trigger, navigating, null
1273, 83, 448.8, 0.0117, no trigger, navigating, null
1290, 84.7, 447, 0.0122, no trigger, navigating, null
1307, 86.4, 445.1, 0.0128, no trigger, navigating, null
1324, 88, 443.2, 0.0133, no trigger, navigating, null
1341, 88, 443.2, 0.0133, right trigger, navigating, null
1358, 90.2, 440.6, 0.014, no trigger, navigating, null
1376, 92.5, 437.8, 0.0148, no trigger, navigating, null
1393, 94.7, 435.1, 0.0155, no trigger, navigating, null
1411, 96.8, 432.3, 0.0161, no trigger, navigating, null
1428, 99.1, 429.3, 0.0169, no trigger, navigating, null
1445, 101.3, 426.5, 0.0175, no trigger, navigating, null
1464, 103.5, 423.4, 0.0182, no trigger, navigating, null
1481, 105.7, 420.3, 0.0189, no trigger, navigating, null
