2, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
19, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
36, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
52, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
69, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
85, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
102, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
118, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
136, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
152, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
169, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
185, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
202, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
218, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
235, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
251, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
269, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
285, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
301, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
318, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
334, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
351, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
367, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
384, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
400, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
417, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
433, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
451, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
467, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
484, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
501, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
518, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
534, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
551, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
567, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
584, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
600, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
616, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
633, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
650, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
667, 73.3, 449.2, 0, no trigger, navigating, , undefined, 0, 0
684, 73.3, 449.2, 0, right trigger, navigating, , undefined, 0, 0
703, 73.8, 449.2, 0.0001, no trigger, navigating, , undefined, 0, 0
721, 73.8, 449.2, 0.0001, right trigger, navigating, , undefined, 0, 0
738, 74.7, 449.1, 0.0005, no trigger, navigating, , undefined, 0, 0
755, 75.6, 448.9, 0.0008, no trigger, navigating, , undefined, 0, 0
772, 76.5, 448.8, 0.0012, no trigger, navigating, , undefined, 0, 0
789, 77.4, 448.6, 0.0015, no trigger, navigating, , undefined, 0, 0
806, 78.2, 448.3, 0.0018, no trigger, navigating, , undefined, 0, 0
823, 79.1, 448.1, 0.0021, no trigger, navigating, , undefined, 0, 0
841, 80, 447.8, 0.0025, no trigger, navigating, , undefined, 0, 0
857, 80.8, 447.5, 0.0028, no trigger, navigating, , undefined, 0, 0
874, 81.6, 447.2, 0.0031, no trigger, navigating, , undefined, 0, 0
891, 82.5, 446.8, 0.0034, no trigger, navigating, , undefined, 0, 0
908, 83.3, 446.4, 0.0037, no trigger, navigating, , undefined, 0, 0
926, 84.2, 446, 0.004, no trigger, navigating, , undefined, 0, 0
943, 85, 445.6, 0.0043, no trigger, navigating, , undefined, 0, 0
978, 86.7, 444.7, 0.0049, no trigger, navigating, , undefined, 0, 0
996, 87.5, 444.2, 0.0052, no trigger, navigating, , undefined, 0, 0
1013, 88.3, 443.7, 0.0055, no trigger, navigating, , undefined, 0, 0
1029, 89.1, 443.2, 0.0057, no trigger, navigating, , undefined, 0, 0
1046, 89.9, 442.7, 0.006, no trigger, navigating, , undefined, 0, 0
1064, 90.7, 442.1, 0.0063, no trigger, navigating, , undefined, 0, 0
1081, 91.5, 441.5, 0.0066, no trigger, navigating, , undefined, 0, 0
1099, 92.3, 440.9, 0.0069, no trigger, navigating, , undefined, 0, 0
1115, 93, 440.4, 0.0071, no trigger, navigating, , undefined, 0, 0
1134, 93.9, 439.7, 0.0074, no trigger, navigating, , undefined, 0, 0
1151, 94.6, 439.1, 0.0077, no trigger, navigating, , undefined, 0, 0
1168, 95.4, 438.5, 0.008, no trigger, navigating, , undefined, 0, 0
1186, 96.1, 437.9, 0.0082, no trigger, navigating, , undefined, 0, 0
1204, 96.9, 437.2, 0.0085, no trigger, navigating, , undefined, 0, 0
1221, 97.7, 436.5, 0.0087, no trigger, navigating, , undefined, 0, 0
1238, 98.4, 435.9, 0.009, no trigger, navigating, , undefined, 0, 0
1255, 99.2, 435.2, 0.0092, no trigger, navigating, , undefined, 0, 0
1272, 99.9, 434.6, 0.0095, no trigger, navigating, , undefined, 0, 0
